replicate,pop,gen,prefS,H0,selModel
5,STH,6,0.8,0.46,hetIncompLocusPref
5,STL,7,0.8,0.54,hetIncompLocusPref
5,STM,7,0.8,0.62,hetIncompLocusPref
5,STH,7,0.8,0.4,hetIncompLocusPref
5,STL,8,0.8,0.5,hetIncompLocusPref
5,STM,8,0.8,0.48,hetIncompLocusPref
5,STH,8,0.8,0.52,hetIncompLocusPref
5,STL,9,0.8,0.54,hetIncompLocusPref
5,STM,9,0.8,0.5,hetIncompLocusPref
5,STH,9,0.8,0.6,hetIncompLocusPref
5,STL,10,0.8,0.66,hetIncompLocusPref
5,STM,10,0.8,0.56,hetIncompLocusPref
5,STH,10,0.8,0.5,hetIncompLocusPref
5,STL,11,0.8,0.54,hetIncompLocusPref
5,STM,11,0.8,0.48,hetIncompLocusPref
5,STH,11,0.8,0.54,hetIncompLocusPref
5,STL,12,0.8,0.48,hetIncompLocusPref
5,STM,12,0.8,0.64,hetIncompLocusPref
5,STH,12,0.8,0.58,hetIncompLocusPref
5,STL,13,0.8,0.42,hetIncompLocusPref
5,STM,13,0.8,0.46,hetIncompLocusPref
5,STH,13,0.8,0.52,hetIncompLocusPref
5,STL,14,0.8,0.46,hetIncompLocusPref
5,STM,14,0.8,0.62,hetIncompLocusPref
5,STH,14,0.8,0.54,hetIncompLocusPref
5,STL,15,0.8,0.54,hetIncompLocusPref
5,STM,15,0.8,0.46,hetIncompLocusPref
5,STH,15,0.8,0.54,hetIncompLocusPref
5,STL,16,0.8,0.58,hetIncompLocusPref
5,STM,16,0.8,0.5,hetIncompLocusPref
5,STH,16,0.8,0.54,hetIncompLocusPref
5,STL,17,0.8,0.54,hetIncompLocusPref
5,STM,17,0.8,0.48,hetIncompLocusPref
5,STH,17,0.8,0.44,hetIncompLocusPref
5,STL,18,0.8,0.56,hetIncompLocusPref
5,STM,18,0.8,0.58,hetIncompLocusPref
5,STH,18,0.8,0.42,hetIncompLocusPref
5,STL,19,0.8,0.48,hetIncompLocusPref
5,STM,19,0.8,0.42,hetIncompLocusPref
5,STH,19,0.8,0.52,hetIncompLocusPref
5,STL,20,0.8,0.54,hetIncompLocusPref
5,STM,20,0.8,0.38,hetIncompLocusPref
5,STH,20,0.8,0.42,hetIncompLocusPref
6,STL,1,0.8,1,hetIncompLocusPref
6,STM,1,0.8,1,hetIncompLocusPref
6,STH,1,0.8,1,hetIncompLocusPref
6,STL,2,0.8,0.76,hetIncompLocusPref
6,STM,2,0.8,0.64,hetIncompLocusPref
6,STH,2,0.8,0.86,hetIncompLocusPref
6,STL,3,0.8,0.62,hetIncompLocusPref
6,STM,3,0.8,0.52,hetIncompLocusPref
6,STH,3,0.8,0.68,hetIncompLocusPref
6,STL,4,0.8,0.6,hetIncompLocusPref
6,STM,4,0.8,0.34,hetIncompLocusPref
6,STH,4,0.8,0.4,hetIncompLocusPref
