replicate,pop,gen,prefS,Fis,selModel
5,STM,7,0.91,-0.2804,disIncompLocusPref
5,STH,7,0.91,-0.2727,disIncompLocusPref
5,STL,8,0.91,-0.4203,disIncompLocusPref
5,STM,8,0.91,-0.4203,disIncompLocusPref
5,STH,8,0.91,-0.2099,disIncompLocusPref
5,STL,9,0.91,-0.2564,disIncompLocusPref
5,STM,9,0.91,-0.3067,disIncompLocusPref
5,STH,9,0.91,-0.4203,disIncompLocusPref
5,STL,10,0.91,-0.3425,disIncompLocusPref
5,STM,10,0.91,-0.3611,disIncompLocusPref
5,STH,10,0.91,-0.2379,disIncompLocusPref
5,STL,11,0.91,-0.3611,disIncompLocusPref
5,STM,11,0.91,-0.4203,disIncompLocusPref
5,STH,11,0.91,-0.4412,disIncompLocusPref
5,STL,12,0.91,-0.3425,disIncompLocusPref
5,STM,12,0.91,-0.1354,disIncompLocusPref
5,STH,12,0.91,-0.2727,disIncompLocusPref
5,STL,13,0.91,-0.3243,disIncompLocusPref
5,STM,13,0.91,-0.3425,disIncompLocusPref
5,STH,13,0.91,-0.3243,disIncompLocusPref
5,STL,14,0.91,-0.4203,disIncompLocusPref
5,STM,14,0.91,-0.2895,disIncompLocusPref
5,STH,14,0.91,-0.4203,disIncompLocusPref
5,STL,15,0.91,-0.4,disIncompLocusPref
5,STM,15,0.91,-0.2564,disIncompLocusPref
5,STH,15,0.91,-0.4412,disIncompLocusPref
5,STL,16,0.91,-0.3611,disIncompLocusPref
5,STM,16,0.91,-0.2895,disIncompLocusPref
5,STH,16,0.91,-0.2727,disIncompLocusPref
5,STL,17,0.91,-0.4,disIncompLocusPref
5,STM,17,0.91,-0.3425,disIncompLocusPref
5,STH,17,0.91,-0.2405,disIncompLocusPref
5,STL,18,0.91,-0.2564,disIncompLocusPref
5,STM,18,0.91,-0.3425,disIncompLocusPref
5,STH,18,0.91,-0.3425,disIncompLocusPref
5,STL,19,0.91,-0.4203,disIncompLocusPref
5,STM,19,0.91,-0.1951,disIncompLocusPref
5,STH,19,0.91,-0.3243,disIncompLocusPref
5,STL,20,0.91,-0.3611,disIncompLocusPref
5,STM,20,0.91,-0.3067,disIncompLocusPref
5,STH,20,0.91,-0.2727,disIncompLocusPref
6,STL,1,0.91,-1,disIncompLocusPref
6,STM,1,0.91,-1,disIncompLocusPref
6,STH,1,0.91,-1,disIncompLocusPref
6,STL,2,0.91,-0.5312,disIncompLocusPref
6,STM,2,0.91,-0.4939,disIncompLocusPref
6,STH,2,0.91,-0.4627,disIncompLocusPref
6,STL,3,0.91,-0.2804,disIncompLocusPref
6,STM,3,0.91,-0.3243,disIncompLocusPref
6,STH,3,0.91,-0.2895,disIncompLocusPref
6,STL,4,0.91,-0.3611,disIncompLocusPref
6,STM,4,0.91,-0.4,disIncompLocusPref
6,STH,4,0.91,-0.2405,disIncompLocusPref
6,STL,5,0.91,-0.3425,disIncompLocusPref
6,STM,5,0.91,-0.4,disIncompLocusPref
6,STH,5,0.91,-0.3425,disIncompLocusPref
6,STL,6,0.91,-0.2727,disIncompLocusPref
6,STM,6,0.91,-0.3425,disIncompLocusPref
6,STH,6,0.91,-0.2727,disIncompLocusPref
6,STL,7,0.91,-0.3022,disIncompLocusPref
6,STM,7,0.91,-0.2564,disIncompLocusPref
6,STH,7,0.91,-0.3425,disIncompLocusPref
6,STL,8,0.91,-0.3243,disIncompLocusPref
6,STM,8,0.91,-0.3243,disIncompLocusPref
6,STH,8,0.91,-0.3425,disIncompLocusPref
6,STL,9,0.91,-0.2895,disIncompLocusPref
6,STM,9,0.91,-0.2727,disIncompLocusPref
6,STH,9,0.91,-0.2727,disIncompLocusPref
6,STL,10,0.91,-0.225,disIncompLocusPref
6,STM,10,0.91,-0.2099,disIncompLocusPref
6,STH,10,0.91,-0.2895,disIncompLocusPref
6,STL,11,0.91,-0.2099,disIncompLocusPref
6,STM,11,0.91,-0.2727,disIncompLocusPref
6,STH,11,0.91,-0.3425,disIncompLocusPref
6,STL,12,0.91,-0.2564,disIncompLocusPref
6,STM,12,0.91,-0.3067,disIncompLocusPref
6,STH,12,0.91,-0.2727,disIncompLocusPref
6,STL,13,0.91,-0.176,disIncompLocusPref
6,STM,13,0.91,-0.4412,disIncompLocusPref
6,STH,13,0.91,-0.3243,disIncompLocusPref
6,STL,14,0.91,-0.2727,disIncompLocusPref
6,STM,14,0.91,-0.3425,disIncompLocusPref
6,STH,14,0.91,-0.2727,disIncompLocusPref
6,STL,15,0.91,-0.4627,disIncompLocusPref
6,STM,15,0.91,-0.4412,disIncompLocusPref
6,STH,15,0.91,-0.3803,disIncompLocusPref
6,STL,16,0.91,-0.3425,disIncompLocusPref
6,STM,16,0.91,-0.1851,disIncompLocusPref
6,STH,16,0.91,-0.3067,disIncompLocusPref
6,STL,17,0.91,-0.3803,disIncompLocusPref
6,STM,17,0.91,-0.3803,disIncompLocusPref
6,STH,17,0.91,-0.2895,disIncompLocusPref
6,STL,18,0.91,-0.2564,disIncompLocusPref
6,STM,18,0.91,-0.4,disIncompLocusPref
6,STH,18,0.91,-0.3243,disIncompLocusPref
6,STL,19,0.91,-0.4,disIncompLocusPref
6,STM,19,0.91,-0.3243,disIncompLocusPref
6,STH,19,0.91,-0.3067,disIncompLocusPref
6,STL,20,0.91,-0.2895,disIncompLocusPref
6,STM,20,0.91,-0.4412,disIncompLocusPref
6,STH,20,0.91,-0.3803,disIncompLocusPref
7,STL,1,0.91,-1,disIncompLocusPref
7,STM,1,0.91,-1,disIncompLocusPref
7,STH,1,0.91,-1,disIncompLocusPref
7,STL,2,0.91,-0.4073,disIncompLocusPref
7,STM,2,0.91,-0.3803,disIncompLocusPref
7,STH,2,0.91,-0.3279,disIncompLocusPref
7,STL,3,0.91,-0.4,disIncompLocusPref
7,STM,3,0.91,-0.2099,disIncompLocusPref
7,STH,3,0.91,-0.4939,disIncompLocusPref
7,STL,4,0.91,-0.3067,disIncompLocusPref
7,STM,4,0.91,-0.3243,disIncompLocusPref
7,STH,4,0.91,-0.2564,disIncompLocusPref
7,STL,5,0.91,-0.2895,disIncompLocusPref
7,STM,5,0.91,-0.3425,disIncompLocusPref
7,STH,5,0.91,-0.3067,disIncompLocusPref
7,STL,6,0.91,-0.1964,disIncompLocusPref
