replicate,pop,gen,disS,Fis,selModel
4,STM,6,0.6,-0.3243,incompHetPrefSel
4,STH,6,0.6,-0.4203,incompHetPrefSel
4,STL,7,0.6,-0.3611,incompHetPrefSel
4,STM,7,0.6,-0.2727,incompHetPrefSel
4,STH,7,0.6,-0.2045,incompHetPrefSel
4,STL,8,0.6,-0.2528,incompHetPrefSel
4,STM,8,0.6,-0.115,incompHetPrefSel
4,STH,8,0.6,-0.259,incompHetPrefSel
4,STL,9,0.6,-0.3243,incompHetPrefSel
4,STM,9,0.6,-0.225,incompHetPrefSel
4,STH,9,0.6,-0.0865,incompHetPrefSel
4,STL,10,0.6,-0.2379,incompHetPrefSel
4,STM,10,0.6,-0.1964,incompHetPrefSel
4,STH,10,0.6,-0.3243,incompHetPrefSel
4,STL,11,0.6,-0.2171,incompHetPrefSel
4,STM,11,0.6,-0.2379,incompHetPrefSel
4,STH,11,0.6,-0.4,incompHetPrefSel
4,STL,12,0.6,-0.37,incompHetPrefSel
4,STM,12,0.6,-0.2099,incompHetPrefSel
4,STH,12,0.6,-0.2171,incompHetPrefSel
4,STL,13,0.6,-0.3611,incompHetPrefSel
4,STM,13,0.6,-0.2099,incompHetPrefSel
4,STH,13,0.6,-0.3067,incompHetPrefSel
4,STL,14,0.6,-0.3425,incompHetPrefSel
4,STM,14,0.6,-0.1529,incompHetPrefSel
4,STH,14,0.6,-0.1951,incompHetPrefSel
4,STL,15,0.6,-0.2379,incompHetPrefSel
4,STM,15,0.6,-0.2727,incompHetPrefSel
4,STH,15,0.6,-0.2405,incompHetPrefSel
4,STL,16,0.6,-0.3067,incompHetPrefSel
4,STM,16,0.6,-0.3611,incompHetPrefSel
4,STH,16,0.6,-0.3243,incompHetPrefSel
4,STL,17,0.6,-0.259,incompHetPrefSel
4,STM,17,0.6,-0.225,incompHetPrefSel
4,STH,17,0.6,-0.1571,incompHetPrefSel
4,STL,18,0.6,-0.3067,incompHetPrefSel
4,STM,18,0.6,-0.1807,incompHetPrefSel
4,STH,18,0.6,-0.1354,incompHetPrefSel
4,STL,19,0.6,-0.2405,incompHetPrefSel
4,STM,19,0.6,-0.2727,incompHetPrefSel
4,STH,19,0.6,-0.3067,incompHetPrefSel
4,STL,20,0.6,-0.1354,incompHetPrefSel
4,STM,20,0.6,-0.1951,incompHetPrefSel
4,STH,20,0.6,-0.4412,incompHetPrefSel
5,STL,1,0.6,-1,incompHetPrefSel
5,STM,1,0.6,-1,incompHetPrefSel
5,STH,1,0.6,-1,incompHetPrefSel
5,STL,2,0.6,-0.1891,incompHetPrefSel
5,STM,2,0.6,-0.3025,incompHetPrefSel
5,STH,2,0.6,-0.3025,incompHetPrefSel
5,STL,3,0.6,-0.5482,incompHetPrefSel
5,STM,3,0.6,-0.2929,incompHetPrefSel
5,STH,3,0.6,-0.2285,incompHetPrefSel
5,STL,4,0.6,-0.3469,incompHetPrefSel
5,STM,4,0.6,0.0502,incompHetPrefSel
5,STH,4,0.6,-0.3243,incompHetPrefSel
5,STL,5,0.6,-0.1557,incompHetPrefSel
5,STM,5,0.6,-0.1964,incompHetPrefSel
5,STH,5,0.6,-0.3803,incompHetPrefSel
5,STL,6,0.6,-0.225,incompHetPrefSel
5,STM,6,0.6,-0.3425,incompHetPrefSel
5,STH,6,0.6,-0.3425,incompHetPrefSel
5,STL,7,0.6,-0.1951,incompHetPrefSel
5,STM,7,0.6,-0.2171,incompHetPrefSel
5,STH,7,0.6,-0.2405,incompHetPrefSel
5,STL,8,0.6,-0.2099,incompHetPrefSel
5,STM,8,0.6,-0.2171,incompHetPrefSel
5,STH,8,0.6,-0.115,incompHetPrefSel
5,STL,9,0.6,-0.1964,incompHetPrefSel
5,STM,9,0.6,-0.3425,incompHetPrefSel
5,STH,9,0.6,-0.0946,incompHetPrefSel
5,STL,10,0.6,-0.225,incompHetPrefSel
5,STM,10,0.6,-0.2895,incompHetPrefSel
5,STH,10,0.6,-0.0865,incompHetPrefSel
5,STL,11,0.6,-0.1354,incompHetPrefSel
5,STM,11,0.6,-0.2895,incompHetPrefSel
5,STH,11,0.6,-0.2564,incompHetPrefSel
5,STL,12,0.6,-0.3067,incompHetPrefSel
5,STM,12,0.6,-0.3243,incompHetPrefSel
5,STH,12,0.6,-0.1354,incompHetPrefSel
5,STL,13,0.6,-0.2895,incompHetPrefSel
5,STM,13,0.6,-0.4,incompHetPrefSel
5,STH,13,0.6,-0.225,incompHetPrefSel
5,STL,14,0.6,-0.1951,incompHetPrefSel
5,STM,14,0.6,-0.2895,incompHetPrefSel
5,STH,14,0.6,-0.1557,incompHetPrefSel
5,STL,15,0.6,-0.1807,incompHetPrefSel
5,STM,15,0.6,-0.3243,incompHetPrefSel
5,STH,15,0.6,-0.2727,incompHetPrefSel
5,STL,16,0.6,-0.0946,incompHetPrefSel
5,STM,16,0.6,-0.225,incompHetPrefSel
5,STH,16,0.6,-0.2895,incompHetPrefSel
5,STL,17,0.6,-0.0316,incompHetPrefSel
5,STM,17,0.6,-0.1807,incompHetPrefSel
5,STH,17,0.6,-0.225,incompHetPrefSel
5,STL,18,0.6,-0.2405,incompHetPrefSel
5,STM,18,0.6,-0.2099,incompHetPrefSel
5,STH,18,0.6,-0.2727,incompHetPrefSel
5,STL,19,0.6,-0.176,incompHetPrefSel
5,STM,19,0.6,-0.0316,incompHetPrefSel
5,STH,19,0.6,-0.259,incompHetPrefSel
5,STL,20,0.6,-0.2727,incompHetPrefSel
5,STM,20,0.6,-0.2405,incompHetPrefSel
5,STH,20,0.6,-0.2804,incompHetPrefSel
6,STL,1,0.6,-1,incompHetPrefSel
6,STM,1,0.6,-1,incompHetPrefSel
6,STH,1,0.6,-1,incompHetPrefSel
6,STL,2,0.6,-0.4203,incompHetPrefSel
6,STM,2,0.6,-0.4633,incompHetPrefSel
6,STH,2,0.6,-0.2056,incompHetPrefSel
6,STL,3,0.6,-0.1557,incompHetPrefSel
6,STM,3,0.6,-0.2804,incompHetPrefSel
6,STH,3,0.6,-0.3243,incompHetPrefSel
6,STL,4,0.6,-0.2099,incompHetPrefSel
6,STM,4,0.6,-0.3611,incompHetPrefSel
6,STH,4,0.6,-0.3243,incompHetPrefSel
6,STL,5,0.6,-0.1667,incompHetPrefSel
6,STM,5,0.6,-0.4627,incompHetPrefSel
6,STH,5,0.6,-0.2895,incompHetPrefSel
6,STL,6,0.6,-0.1951,incompHetPrefSel
6,STM,6,0.6,-0.1807,incompHetPrefSel
6,STH,6,0.6,-0.2528,incompHetPrefSel
6,STL,7,0.6,-0.2564,incompHetPrefSel
6,STM,7,0.6,-0.1807,incompHetPrefSel
6,STH,7,0.6,-0.3611,incompHetPrefSel
6,STL,8,0.6,-0.2564,incompHetPrefSel
6,STM,8,0.6,-0.3243,incompHetPrefSel
6,STH,8,0.6,-0.2379,incompHetPrefSel
6,STL,9,0.6,-0.2895,incompHetPrefSel
6,STM,9,0.6,-0.3243,incompHetPrefSel
6,STH,9,0.6,-0.2727,incompHetPrefSel
6,STL,10,0.6,-0.1951,incompHetPrefSel
6,STM,10,0.6,-0.2171,incompHetPrefSel
6,STH,10,0.6,-0.1354,incompHetPrefSel
6,STL,11,0.6,-0.2564,incompHetPrefSel
6,STM,11,0.6,-0.259,incompHetPrefSel
6,STH,11,0.6,-0.115,incompHetPrefSel
6,STL,12,0.6,-0.3243,incompHetPrefSel
6,STM,12,0.6,-0.2045,incompHetPrefSel
6,STH,12,0.6,-0.2564,incompHetPrefSel
6,STL,13,0.6,-0.3243,incompHetPrefSel
6,STM,13,0.6,-0.3803,incompHetPrefSel
6,STH,13,0.6,-0.3243,incompHetPrefSel
6,STL,14,0.6,-0.3067,incompHetPrefSel
6,STM,14,0.6,-0.3803,incompHetPrefSel
6,STH,14,0.6,-0.1354,incompHetPrefSel
6,STL,15,0.6,-0.3425,incompHetPrefSel
6,STM,15,0.6,-0.3425,incompHetPrefSel
6,STH,15,0.6,-0.3425,incompHetPrefSel
6,STL,16,0.6,-0.4,incompHetPrefSel
6,STM,16,0.6,-0.3425,incompHetPrefSel
6,STH,16,0.6,-0.1807,incompHetPrefSel
