replicate,pop,gen,odomS,Fis,selModel
3,STM,18,0.2,-0.3243,incompODomSel
3,STH,18,0.2,-0.176,incompODomSel
3,STL,19,0.2,-0.1951,incompODomSel
3,STM,19,0.2,-0.053,incompODomSel
3,STH,19,0.2,-0.2405,incompODomSel
3,STL,20,0.2,-0.3611,incompODomSel
3,STM,20,0.2,-0.225,incompODomSel
3,STH,20,0.2,-0.1964,incompODomSel
4,STL,1,0.2,-1,incompODomSel
4,STM,1,0.2,-1,incompODomSel
4,STH,1,0.2,-1,incompODomSel
4,STL,2,0.2,-0.5223,incompODomSel
4,STM,2,0.2,-0.4633,incompODomSel
4,STH,2,0.2,-0.6672,incompODomSel
4,STL,3,0.2,-0.4412,incompODomSel
4,STM,3,0.2,-0.4073,incompODomSel
4,STH,3,0.2,-0.5077,incompODomSel
4,STL,4,0.2,-0.3243,incompODomSel
4,STM,4,0.2,-0.3022,incompODomSel
4,STH,4,0.2,-0.37,incompODomSel
4,STL,5,0.2,-0.225,incompODomSel
4,STM,5,0.2,-0.3243,incompODomSel
4,STH,5,0.2,-0.1964,incompODomSel
4,STL,6,0.2,-0.1529,incompODomSel
4,STM,6,0.2,-0.1951,incompODomSel
4,STH,6,0.2,-0.259,incompODomSel
4,STL,7,0.2,-0.1667,incompODomSel
4,STM,7,0.2,-0.1395,incompODomSel
4,STH,7,0.2,-0.259,incompODomSel
4,STL,8,0.2,-0.1667,incompODomSel
4,STM,8,0.2,-0.1264,incompODomSel
4,STH,8,0.2,-0.4203,incompODomSel
4,STL,9,0.2,-0.2564,incompODomSel
4,STM,9,0.2,-0.0889,incompODomSel
4,STH,9,0.2,-0.3469,incompODomSel
4,STL,10,0.2,-0.2171,incompODomSel
4,STM,10,0.2,-0.1264,incompODomSel
4,STH,10,0.2,-0.4203,incompODomSel
4,STL,11,0.2,-0.2727,incompODomSel
4,STM,11,0.2,-0.1136,incompODomSel
4,STH,11,0.2,-0.3425,incompODomSel
4,STL,12,0.2,-0.2895,incompODomSel
4,STM,12,0.2,-0.1667,incompODomSel
4,STH,12,0.2,-0.2895,incompODomSel
4,STL,13,0.2,-0.2564,incompODomSel
4,STM,13,0.2,-0.2099,incompODomSel
4,STH,13,0.2,-0.11,incompODomSel
4,STL,14,0.2,-0.1807,incompODomSel
4,STM,14,0.2,-0.1951,incompODomSel
4,STH,14,0.2,-0.2405,incompODomSel
4,STL,15,0.2,-0.1264,incompODomSel
4,STM,15,0.2,-0.1011,incompODomSel
4,STH,15,0.2,-0.2379,incompODomSel
4,STL,16,0.2,-0.1011,incompODomSel
4,STM,16,0.2,-0.1529,incompODomSel
4,STH,16,0.2,-0.2727,incompODomSel
4,STL,17,0.2,-0.1667,incompODomSel
4,STM,17,0.2,-0.1667,incompODomSel
4,STH,17,0.2,-0.3243,incompODomSel
4,STL,18,0.2,-0.1951,incompODomSel
4,STM,18,0.2,-0.1529,incompODomSel
4,STH,18,0.2,-0.2285,incompODomSel
4,STL,19,0.2,-0.2727,incompODomSel
4,STM,19,0.2,-0.1395,incompODomSel
4,STH,19,0.2,-0.3425,incompODomSel
4,STL,20,0.2,-0.225,incompODomSel
4,STM,20,0.2,-0.1136,incompODomSel
4,STH,20,0.2,-0.2564,incompODomSel
5,STL,1,0.2,-1,incompODomSel
5,STM,1,0.2,-1,incompODomSel
5,STH,1,0.2,-1,incompODomSel
5,STL,2,0.2,-0.535,incompODomSel
5,STM,2,0.2,-0.6672,incompODomSel
5,STH,2,0.2,-0.4412,incompODomSel
5,STL,3,0.2,-0.4412,incompODomSel
5,STM,3,0.2,-0.3243,incompODomSel
5,STH,3,0.2,-0.3936,incompODomSel
5,STL,4,0.2,-0.3022,incompODomSel
5,STM,4,0.2,-0.3611,incompODomSel
5,STH,4,0.2,-0.3803,incompODomSel
5,STL,5,0.2,-0.259,incompODomSel
5,STM,5,0.2,-0.3067,incompODomSel
5,STH,5,0.2,-0.3243,incompODomSel
5,STL,6,0.2,-0.2564,incompODomSel
5,STM,6,0.2,-0.2099,incompODomSel
5,STH,6,0.2,-0.4203,incompODomSel
5,STL,7,0.2,-0.2895,incompODomSel
5,STM,7,0.2,-0.225,incompODomSel
5,STH,7,0.2,-0.2775,incompODomSel
5,STL,8,0.2,-0.3067,incompODomSel
5,STM,8,0.2,-0.3067,incompODomSel
5,STH,8,0.2,-0.3611,incompODomSel
5,STL,9,0.2,-0.3243,incompODomSel
5,STM,9,0.2,-0.115,incompODomSel
5,STH,9,0.2,-0.2379,incompODomSel
5,STL,10,0.2,-0.176,incompODomSel
5,STM,10,0.2,-0.1354,incompODomSel
5,STH,10,0.2,-0.3022,incompODomSel
5,STL,11,0.2,-0.176,incompODomSel
5,STM,11,0.2,-0.3425,incompODomSel
5,STH,11,0.2,-0.2895,incompODomSel
5,STL,12,0.2,-0.0946,incompODomSel
5,STM,12,0.2,-0.1667,incompODomSel
5,STH,12,0.2,-0.3067,incompODomSel
5,STL,13,0.2,-0.2405,incompODomSel
5,STM,13,0.2,-0.1395,incompODomSel
5,STH,13,0.2,-0.2895,incompODomSel
5,STL,14,0.2,-0.074,incompODomSel
5,STM,14,0.2,-0.1667,incompODomSel
5,STH,14,0.2,-0.2895,incompODomSel
5,STL,15,0.2,-0.1951,incompODomSel
5,STM,15,0.2,-0.1395,incompODomSel
5,STH,15,0.2,-0.1557,incompODomSel
5,STL,16,0.2,-0.3067,incompODomSel
5,STM,16,0.2,-0.1529,incompODomSel
5,STH,16,0.2,-0.2099,incompODomSel
5,STL,17,0.2,-0.225,incompODomSel
5,STM,17,0.2,-0.225,incompODomSel
5,STH,17,0.2,-0.2895,incompODomSel
5,STL,18,0.2,-0.2405,incompODomSel
5,STM,18,0.2,-0.2405,incompODomSel
