replicate,pop,gen,odomS,Fis,selModel
4,STL,4,0.6,-0.6855,incompODomSel
4,STM,4,0.6,-0.2929,incompODomSel
4,STH,4,0.6,-0.5766,incompODomSel
4,STL,5,0.6,-0.8148,incompODomSel
4,STM,5,0.6,-0.5312,incompODomSel
4,STH,5,0.6,-0.6361,incompODomSel
4,STL,6,0.6,-0.6672,incompODomSel
4,STM,6,0.6,-0.4924,incompODomSel
4,STH,6,0.6,-0.6059,incompODomSel
4,STL,7,0.6,-0.7818,incompODomSel
4,STM,7,0.6,-0.5806,incompODomSel
4,STH,7,0.6,-0.5556,incompODomSel
4,STL,8,0.6,-0.6059,incompODomSel
4,STM,8,0.6,-0.6172,incompODomSel
4,STH,8,0.6,-0.6333,incompODomSel
4,STL,9,0.6,-0.6672,incompODomSel
4,STM,9,0.6,-0.6672,incompODomSel
4,STH,9,0.6,-0.5207,incompODomSel
4,STL,10,0.6,-0.6672,incompODomSel
4,STM,10,0.6,-0.6361,incompODomSel
4,STH,10,0.6,-0.5766,incompODomSel
4,STL,11,0.6,-0.4924,incompODomSel
4,STM,11,0.6,-0.5766,incompODomSel
4,STH,11,0.6,-0.4848,incompODomSel
4,STL,12,0.6,-0.5223,incompODomSel
4,STM,12,0.6,-0.6172,incompODomSel
4,STH,12,0.6,-0.6897,incompODomSel
4,STL,13,0.6,-0.4678,incompODomSel
4,STM,13,0.6,-0.6333,incompODomSel
4,STH,13,0.6,-0.4073,incompODomSel
4,STL,14,0.6,-0.2346,incompODomSel
4,STM,14,0.6,-0.7672,incompODomSel
4,STH,14,0.6,-0.6059,incompODomSel
4,STL,15,0.6,-0.4388,incompODomSel
4,STM,15,0.6,-0.8148,incompODomSel
4,STH,15,0.6,-0.3209,incompODomSel
4,STL,16,0.6,-0.4073,incompODomSel
4,STM,16,0.6,-0.5766,incompODomSel
4,STH,16,0.6,-0.5846,incompODomSel
4,STL,17,0.6,-0.6333,incompODomSel
4,STM,17,0.6,-0.5207,incompODomSel
4,STH,17,0.6,-0.5312,incompODomSel
4,STL,18,0.6,-0.6066,incompODomSel
4,STM,18,0.6,-0.5556,incompODomSel
4,STH,18,0.6,-0.75,incompODomSel
4,STL,19,0.6,-0.5766,incompODomSel
4,STM,19,0.6,-0.4939,incompODomSel
4,STH,19,0.6,-0.6508,incompODomSel
4,STL,20,0.6,-0.5846,incompODomSel
4,STM,20,0.6,-0.435,incompODomSel
