replicate,pop,gen,disS,Fis,selModel
6,STH,12,0.2,-0.1136,incompDisSel
6,STL,13,0.2,-0.0769,incompDisSel
6,STM,13,0.2,-0.0426,incompDisSel
6,STH,13,0.2,-0.1264,incompDisSel
6,STL,14,0.2,-0.1011,incompDisSel
6,STM,14,0.2,-0.0208,incompDisSel
6,STH,14,0.2,-0.1264,incompDisSel
6,STL,15,0.2,-0.1011,incompDisSel
6,STM,15,0.2,0,incompDisSel
6,STH,15,0.2,-0.0208,incompDisSel
6,STL,16,0.2,-0.0769,incompDisSel
6,STM,16,0.2,-0.0208,incompDisSel
6,STH,16,0.2,-0.0426,incompDisSel
6,STL,17,0.2,-0.0889,incompDisSel
6,STM,17,0.2,-0.0538,incompDisSel
6,STH,17,0.2,-0.0426,incompDisSel
6,STL,18,0.2,-0.1395,incompDisSel
6,STM,18,0.2,-0.0208,incompDisSel
6,STH,18,0.2,-0.0208,incompDisSel
6,STL,19,0.2,-0.0769,incompDisSel
6,STM,19,0.2,-0.0208,incompDisSel
6,STH,19,0.2,0,incompDisSel
6,STL,20,0.2,-0.0769,incompDisSel
6,STM,20,0.2,-0.0103,incompDisSel
6,STH,20,0.2,NaN,incompDisSel
7,STL,1,0.2,-1,incompDisSel
7,STM,1,0.2,-1,incompDisSel
7,STH,1,0.2,-1,incompDisSel
7,STL,2,0.2,-0.3494,incompDisSel
7,STM,2,0.2,-0.3425,incompDisSel
7,STH,2,0.2,-0.4,incompDisSel
7,STL,3,0.2,-0.2405,incompDisSel
7,STM,3,0.2,-0.3067,incompDisSel
7,STH,3,0.2,-0.2564,incompDisSel
7,STL,4,0.2,-0.225,incompDisSel
7,STM,4,0.2,-0.1557,incompDisSel
7,STH,4,0.2,-0.2405,incompDisSel
7,STL,5,0.2,-0.1529,incompDisSel
7,STM,5,0.2,-0.3425,incompDisSel
7,STH,5,0.2,-0.2099,incompDisSel
7,STL,6,0.2,-0.1529,incompDisSel
7,STM,6,0.2,-0.225,incompDisSel
7,STH,6,0.2,-0.2405,incompDisSel
7,STL,7,0.2,-0.1807,incompDisSel
7,STM,7,0.2,-0.225,incompDisSel
7,STH,7,0.2,-0.1667,incompDisSel
7,STL,8,0.2,-0.1136,incompDisSel
7,STM,8,0.2,-0.1395,incompDisSel
7,STH,8,0.2,-0.0889,incompDisSel
