replicate,pop,gen,V4,selModel
5,STH,20,-0.0103,incompSexDistSel
6,STL,1,-1,incompSexDistSel
6,STM,1,-1,incompSexDistSel
6,STH,1,-1,incompSexDistSel
6,STL,2,-0.177,incompSexDistSel
6,STM,2,-0.3025,incompSexDistSel
6,STH,2,-0.3469,incompSexDistSel
6,STL,3,-0.259,incompSexDistSel
6,STM,3,-0.176,incompSexDistSel
6,STH,3,-0.2895,incompSexDistSel
6,STL,4,-0.2727,incompSexDistSel
6,STM,4,-0.1264,incompSexDistSel
6,STH,4,-0.1667,incompSexDistSel
6,STL,5,-0.1667,incompSexDistSel
6,STM,5,-0.2099,incompSexDistSel
6,STH,5,-0.0946,incompSexDistSel
6,STL,6,-0.1951,incompSexDistSel
6,STM,6,-0.1807,incompSexDistSel
6,STH,6,-0.225,incompSexDistSel
6,STL,7,-0.1529,incompSexDistSel
6,STM,7,-0.1807,incompSexDistSel
6,STH,7,-0.1667,incompSexDistSel
6,STL,8,-0.1136,incompSexDistSel
6,STM,8,-0.1136,incompSexDistSel
6,STH,8,-0.1136,incompSexDistSel
6,STL,9,-0.1011,incompSexDistSel
6,STM,9,-0.0769,incompSexDistSel
6,STH,9,-0.0426,incompSexDistSel
6,STL,10,-0.1011,incompSexDistSel
6,STM,10,-0.0208,incompSexDistSel
6,STH,10,-0.0426,incompSexDistSel
6,STL,11,-0.1529,incompSexDistSel
6,STM,11,-0.0103,incompSexDistSel
6,STH,11,-0.0316,incompSexDistSel
6,STL,12,-0.1011,incompSexDistSel
6,STM,12,-0.0769,incompSexDistSel
6,STH,12,-0.0103,incompSexDistSel
6,STL,13,-0.0426,incompSexDistSel
6,STM,13,-0.1264,incompSexDistSel
6,STH,13,-0.0316,incompSexDistSel
6,STL,14,-0.0316,incompSexDistSel
6,STM,14,-0.1136,incompSexDistSel
6,STH,14,-0.1011,incompSexDistSel
6,STL,15,-0.0316,incompSexDistSel
6,STM,15,-0.0538,incompSexDistSel
6,STH,15,-0.0889,incompSexDistSel
6,STL,16,-0.0103,incompSexDistSel
6,STM,16,0,incompSexDistSel
6,STH,16,-0.0426,incompSexDistSel
6,STL,17,0,incompSexDistSel
6,STM,17,-0.0208,incompSexDistSel
6,STH,17,-0.0538,incompSexDistSel
6,STL,18,NaN,incompSexDistSel
6,STM,18,-0.0426,incompSexDistSel
6,STH,18,-0.0103,incompSexDistSel
6,STL,19,NaN,incompSexDistSel
6,STM,19,-0.0103,incompSexDistSel
6,STH,19,0,incompSexDistSel
6,STL,20,NaN,incompSexDistSel
6,STM,20,-0.0208,incompSexDistSel
6,STH,20,NaN,incompSexDistSel
7,STL,1,-1,incompSexDistSel
7,STM,1,-1,incompSexDistSel
7,STH,1,-1,incompSexDistSel
7,STL,2,-0.177,incompSexDistSel
7,STM,2,-0.4678,incompSexDistSel
7,STH,2,-0.3936,incompSexDistSel
7,STL,3,-0.1964,incompSexDistSel
7,STM,3,-0.1557,incompSexDistSel
7,STH,3,-0.1557,incompSexDistSel
7,STL,4,-0.2099,incompSexDistSel
7,STM,4,-0.1395,incompSexDistSel
7,STH,4,-0.3067,incompSexDistSel
7,STL,5,-0.1354,incompSexDistSel
7,STM,5,-0.1395,incompSexDistSel
7,STH,5,-0.2099,incompSexDistSel
7,STL,6,-0.2564,incompSexDistSel
7,STM,6,-0.0538,incompSexDistSel
7,STH,6,-0.11,incompSexDistSel
7,STL,7,-0.2099,incompSexDistSel
7,STM,7,-0.0208,incompSexDistSel
7,STH,7,-0.2171,incompSexDistSel
7,STL,8,-0.2099,incompSexDistSel
7,STM,8,-0.0208,incompSexDistSel
7,STH,8,-0.225,incompSexDistSel
