replicate,pop,gen,odomS,Fis,selModel
6,STH,4,0.91,-0.8029,incompODomSexDistSel
6,STL,5,0.91,-0.837,incompODomSexDistSel
6,STM,5,0.91,-0.84,incompODomSexDistSel
6,STH,5,0.91,-0.96,incompODomSexDistSel
6,STL,6,0.91,-0.8785,incompODomSexDistSel
6,STM,6,0.91,-0.9184,incompODomSexDistSel
6,STH,6,0.91,-0.8785,incompODomSexDistSel
6,STL,7,0.91,-0.8785,incompODomSexDistSel
6,STM,7,0.91,-0.837,incompODomSexDistSel
6,STH,7,0.91,-0.8785,incompODomSexDistSel
6,STL,8,0.91,-0.7586,incompODomSexDistSel
6,STM,8,0.91,-0.96,incompODomSexDistSel
6,STH,8,0.91,-1,incompODomSexDistSel
6,STL,9,0.91,-0.84,incompODomSexDistSel
6,STM,9,0.91,-0.84,incompODomSexDistSel
6,STH,9,0.91,-0.9216,incompODomSexDistSel
6,STL,10,0.91,-0.8785,incompODomSexDistSel
6,STM,10,0.91,-0.7971,incompODomSexDistSel
6,STH,10,0.91,-0.96,incompODomSexDistSel
6,STL,11,0.91,-0.7214,incompODomSexDistSel
6,STM,11,0.91,-0.8029,incompODomSexDistSel
6,STH,11,0.91,-0.7557,incompODomSexDistSel
6,STL,12,0.91,-0.7557,incompODomSexDistSel
6,STM,12,0.91,-0.9184,incompODomSexDistSel
6,STH,12,0.91,-0.84,incompODomSexDistSel
6,STL,13,0.91,-0.8785,incompODomSexDistSel
6,STM,13,0.91,-0.7672,incompODomSexDistSel
6,STH,13,0.91,-1,incompODomSexDistSel
6,STL,14,0.91,-0.8491,incompODomSexDistSel
6,STM,14,0.91,-0.9216,incompODomSexDistSel
6,STH,14,0.91,-0.7672,incompODomSexDistSel
6,STL,15,0.91,-0.8785,incompODomSexDistSel
6,STM,15,0.91,-0.7158,incompODomSexDistSel
6,STH,15,0.91,-0.96,incompODomSexDistSel
6,STL,16,0.91,-0.84,incompODomSexDistSel
6,STM,16,0.91,-0.837,incompODomSexDistSel
6,STH,16,0.91,-0.8846,incompODomSexDistSel
6,STL,17,0.91,-0.96,incompODomSexDistSel
