replicate,pop,gen,V4,selModel
6,STH,3,-0.2804,incompSel
6,STL,4,-0.225,incompSel
6,STM,4,-0.3022,incompSel
6,STH,4,-0.1354,incompSel
6,STL,5,-0.1807,incompSel
6,STM,5,-0.3067,incompSel
6,STH,5,-0.053,incompSel
6,STL,6,-0.1529,incompSel
6,STM,6,-0.2405,incompSel
6,STH,6,-0.2099,incompSel
6,STL,7,0.1552,incompSel
6,STM,7,-0.1807,incompSel
6,STH,7,-0.1136,incompSel
6,STL,8,-0.0652,incompSel
6,STM,8,-0.1667,incompSel
6,STH,8,-0.1264,incompSel
6,STL,9,-0.0426,incompSel
6,STM,9,0.0134,incompSel
6,STH,9,-0.1011,incompSel
6,STL,10,-0.0652,incompSel
6,STM,10,-0.1395,incompSel
6,STH,10,-0.0652,incompSel
6,STL,11,-0.0652,incompSel
6,STM,11,-0.0538,incompSel
6,STH,11,-0.1264,incompSel
6,STL,12,-0.0426,incompSel
6,STM,12,-0.0316,incompSel
6,STH,12,-0.1395,incompSel
6,STL,13,-0.0426,incompSel
6,STM,13,-0.0208,incompSel
6,STH,13,-0.1136,incompSel
6,STL,14,-0.0426,incompSel
6,STM,14,-0.0426,incompSel
6,STH,14,-0.1395,incompSel
6,STL,15,-0.0769,incompSel
6,STM,15,-0.0426,incompSel
6,STH,15,0.0134,incompSel
6,STL,16,-0.0316,incompSel
6,STM,16,-0.0769,incompSel
6,STH,16,-0.1807,incompSel
6,STL,17,-0.0103,incompSel
6,STM,17,-0.0769,incompSel
6,STH,17,-0.1264,incompSel
6,STL,18,0,incompSel
6,STM,18,-0.1011,incompSel
6,STH,18,-0.0889,incompSel
6,STL,19,0,incompSel
6,STM,19,-0.0426,incompSel
6,STH,19,-0.0652,incompSel
6,STL,20,0,incompSel
6,STM,20,-0.0316,incompSel
6,STH,20,-0.0538,incompSel
7,STL,1,-1,incompSel
7,STM,1,-1,incompSel
7,STH,1,-1,incompSel
7,STL,2,-0.5482,incompSel
7,STM,2,-0.4425,incompSel
7,STH,2,-0.435,incompSel
7,STL,3,-0.0375,incompSel
7,STM,3,-0.2727,incompSel
7,STH,3,-0.3025,incompSel
7,STL,4,-0.2727,incompSel
7,STM,4,-0.053,incompSel
7,STH,4,-0.3803,incompSel
7,STL,5,-0.1529,incompSel
7,STM,5,-0.1951,incompSel
7,STH,5,-0.2895,incompSel
7,STL,6,-0.0889,incompSel
7,STM,6,-0.1951,incompSel
7,STH,6,-0.1951,incompSel
7,STL,7,-0.0208,incompSel
7,STM,7,-0.1807,incompSel
7,STH,7,-0.1011,incompSel
7,STL,8,0,incompSel
7,STM,8,-0.2564,incompSel
7,STH,8,-0.2099,incompSel
7,STL,9,-0.0103,incompSel
7,STM,9,-0.3425,incompSel
7,STH,9,-0.1951,incompSel
7,STL,10,-0.0103,incompSel
7,STM,10,-0.2895,incompSel
7,STH,10,-0.1807,incompSel
7,STL,11,-0.0103,incompSel
