replicate,pop,gen,disS,H0,selModel
4,STL,14,0.2,0.12,incompDisSexDistSel
4,STM,14,0.2,0.2,incompDisSexDistSel
4,STH,14,0.2,0.34,incompDisSexDistSel
4,STL,15,0.2,0.14,incompDisSexDistSel
4,STM,15,0.2,0.26,incompDisSexDistSel
4,STH,15,0.2,0.3,incompDisSexDistSel
4,STL,16,0.2,0.16,incompDisSexDistSel
4,STM,16,0.2,0.24,incompDisSexDistSel
4,STH,16,0.2,0.28,incompDisSexDistSel
4,STL,17,0.2,0.16,incompDisSexDistSel
4,STM,17,0.2,0.18,incompDisSexDistSel
4,STH,17,0.2,0.32,incompDisSexDistSel
4,STL,18,0.2,0.28,incompDisSexDistSel
4,STM,18,0.2,0.2,incompDisSexDistSel
4,STH,18,0.2,0.26,incompDisSexDistSel
4,STL,19,0.2,0.24,incompDisSexDistSel
4,STM,19,0.2,0.18,incompDisSexDistSel
4,STH,19,0.2,0.2,incompDisSexDistSel
4,STL,20,0.2,0.08,incompDisSexDistSel
4,STM,20,0.2,0.1,incompDisSexDistSel
4,STH,20,0.2,0.14,incompDisSexDistSel
5,STL,1,0.2,1,incompDisSexDistSel
5,STM,1,0.2,1,incompDisSexDistSel
5,STH,1,0.2,1,incompDisSexDistSel
5,STL,2,0.2,0.58,incompDisSexDistSel
5,STM,2,0.2,0.6,incompDisSexDistSel
5,STH,2,0.2,0.72,incompDisSexDistSel
5,STL,3,0.2,0.6,incompDisSexDistSel
5,STM,3,0.2,0.48,incompDisSexDistSel
5,STH,3,0.2,0.44,incompDisSexDistSel
5,STL,4,0.2,0.52,incompDisSexDistSel
5,STM,4,0.2,0.38,incompDisSexDistSel
5,STH,4,0.2,0.32,incompDisSexDistSel
5,STL,5,0.2,0.5,incompDisSexDistSel
5,STM,5,0.2,0.34,incompDisSexDistSel
5,STH,5,0.2,0.28,incompDisSexDistSel
5,STL,6,0.2,0.44,incompDisSexDistSel
5,STM,6,0.2,0.32,incompDisSexDistSel
5,STH,6,0.2,0.44,incompDisSexDistSel
5,STL,7,0.2,0.34,incompDisSexDistSel
5,STM,7,0.2,0.36,incompDisSexDistSel
5,STH,7,0.2,0.34,incompDisSexDistSel
5,STL,8,0.2,0.42,incompDisSexDistSel
5,STM,8,0.2,0.36,incompDisSexDistSel
5,STH,8,0.2,0.26,incompDisSexDistSel
5,STL,9,0.2,0.26,incompDisSexDistSel
5,STM,9,0.2,0.42,incompDisSexDistSel
5,STH,9,0.2,0.22,incompDisSexDistSel
5,STL,10,0.2,0.16,incompDisSexDistSel
5,STM,10,0.2,0.46,incompDisSexDistSel
5,STH,10,0.2,0.32,incompDisSexDistSel
5,STL,11,0.2,0.2,incompDisSexDistSel
5,STM,11,0.2,0.54,incompDisSexDistSel
5,STH,11,0.2,0.36,incompDisSexDistSel
5,STL,12,0.2,0.3,incompDisSexDistSel
5,STM,12,0.2,0.48,incompDisSexDistSel
