replicate,pop,gen,odomS,H0,selModel
3,STH,20,0.2,0.44,incompODomSel
4,STL,1,0.2,1,incompODomSel
4,STM,1,0.2,1,incompODomSel
4,STH,1,0.2,1,incompODomSel
4,STL,2,0.2,0.74,incompODomSel
4,STM,2,0.2,0.7,incompODomSel
4,STH,2,0.2,0.82,incompODomSel
4,STL,3,0.2,0.62,incompODomSel
4,STM,3,0.2,0.66,incompODomSel
4,STH,3,0.2,0.68,incompODomSel
4,STL,4,0.2,0.5,incompODomSel
4,STM,4,0.2,0.54,incompODomSel
4,STH,4,0.2,0.6,incompODomSel
4,STL,5,0.2,0.38,incompODomSel
4,STM,5,0.2,0.5,incompODomSel
4,STH,5,0.2,0.44,incompODomSel
4,STL,6,0.2,0.28,incompODomSel
4,STM,6,0.2,0.34,incompODomSel
4,STH,6,0.2,0.5,incompODomSel
4,STL,7,0.2,0.3,incompODomSel
4,STM,7,0.2,0.26,incompODomSel
4,STH,7,0.2,0.5,incompODomSel
4,STL,8,0.2,0.3,incompODomSel
4,STM,8,0.2,0.24,incompODomSel
4,STH,8,0.2,0.6,incompODomSel
4,STL,9,0.2,0.42,incompODomSel
4,STM,9,0.2,0.18,incompODomSel
4,STH,9,0.2,0.58,incompODomSel
4,STL,10,0.2,0.46,incompODomSel
4,STM,10,0.2,0.24,incompODomSel
4,STH,10,0.2,0.6,incompODomSel
4,STL,11,0.2,0.44,incompODomSel
4,STM,11,0.2,0.22,incompODomSel
4,STH,11,0.2,0.52,incompODomSel
4,STL,12,0.2,0.46,incompODomSel
4,STM,12,0.2,0.3,incompODomSel
4,STH,12,0.2,0.46,incompODomSel
4,STL,13,0.2,0.42,incompODomSel
4,STM,13,0.2,0.36,incompODomSel
4,STH,13,0.2,0.42,incompODomSel
4,STL,14,0.2,0.32,incompODomSel
4,STM,14,0.2,0.34,incompODomSel
4,STH,14,0.2,0.4,incompODomSel
4,STL,15,0.2,0.24,incompODomSel
4,STM,15,0.2,0.2,incompODomSel
4,STH,15,0.2,0.48,incompODomSel
4,STL,16,0.2,0.2,incompODomSel
4,STM,16,0.2,0.28,incompODomSel
4,STH,16,0.2,0.44,incompODomSel
4,STL,17,0.2,0.3,incompODomSel
4,STM,17,0.2,0.3,incompODomSel
4,STH,17,0.2,0.5,incompODomSel
4,STL,18,0.2,0.34,incompODomSel
4,STM,18,0.2,0.28,incompODomSel
4,STH,18,0.2,0.52,incompODomSel
4,STL,19,0.2,0.44,incompODomSel
4,STM,19,0.2,0.26,incompODomSel
4,STH,19,0.2,0.52,incompODomSel
4,STL,20,0.2,0.38,incompODomSel
4,STM,20,0.2,0.22,incompODomSel
4,STH,20,0.2,0.42,incompODomSel
5,STL,1,0.2,1,incompODomSel
5,STM,1,0.2,1,incompODomSel
5,STH,1,0.2,1,incompODomSel
5,STL,2,0.2,0.76,incompODomSel
5,STM,2,0.2,0.82,incompODomSel
5,STH,2,0.2,0.62,incompODomSel
5,STL,3,0.2,0.62,incompODomSel
5,STM,3,0.2,0.56,incompODomSel
5,STH,3,0.2,0.62,incompODomSel
5,STL,4,0.2,0.54,incompODomSel
5,STM,4,0.2,0.54,incompODomSel
5,STH,4,0.2,0.64,incompODomSel
5,STL,5,0.2,0.5,incompODomSel
5,STM,5,0.2,0.48,incompODomSel
5,STH,5,0.2,0.56,incompODomSel
5,STL,6,0.2,0.42,incompODomSel
5,STM,6,0.2,0.36,incompODomSel
5,STH,6,0.2,0.6,incompODomSel
5,STL,7,0.2,0.46,incompODomSel
5,STM,7,0.2,0.38,incompODomSel
5,STH,7,0.2,0.56,incompODomSel
5,STL,8,0.2,0.48,incompODomSel
5,STM,8,0.2,0.48,incompODomSel
5,STH,8,0.2,0.54,incompODomSel
5,STL,9,0.2,0.5,incompODomSel
5,STM,9,0.2,0.36,incompODomSel
5,STH,9,0.2,0.48,incompODomSel
5,STL,10,0.2,0.42,incompODomSel
5,STM,10,0.2,0.38,incompODomSel
5,STH,10,0.2,0.54,incompODomSel
5,STL,11,0.2,0.42,incompODomSel
5,STM,11,0.2,0.52,incompODomSel
5,STH,11,0.2,0.46,incompODomSel
5,STL,12,0.2,0.34,incompODomSel
5,STM,12,0.2,0.3,incompODomSel
5,STH,12,0.2,0.48,incompODomSel
5,STL,13,0.2,0.4,incompODomSel
5,STM,13,0.2,0.26,incompODomSel
5,STH,13,0.2,0.46,incompODomSel
5,STL,14,0.2,0.32,incompODomSel
5,STM,14,0.2,0.3,incompODomSel
5,STH,14,0.2,0.46,incompODomSel
5,STL,15,0.2,0.34,incompODomSel
5,STM,15,0.2,0.26,incompODomSel
5,STH,15,0.2,0.4,incompODomSel
5,STL,16,0.2,0.48,incompODomSel
5,STM,16,0.2,0.28,incompODomSel
5,STH,16,0.2,0.36,incompODomSel
5,STL,17,0.2,0.38,incompODomSel
5,STM,17,0.2,0.38,incompODomSel
5,STH,17,0.2,0.46,incompODomSel
5,STL,18,0.2,0.4,incompODomSel
5,STM,18,0.2,0.4,incompODomSel
5,STH,18,0.2,0.54,incompODomSel
5,STL,19,0.2,0.28,incompODomSel
5,STM,19,0.2,0.24,incompODomSel
5,STH,19,0.2,0.36,incompODomSel
5,STL,20,0.2,0.3,incompODomSel
5,STM,20,0.2,0.28,incompODomSel
5,STH,20,0.2,0.28,incompODomSel
6,STL,1,0.2,1,incompODomSel
6,STM,1,0.2,1,incompODomSel
6,STH,1,0.2,1,incompODomSel
6,STL,2,0.2,0.72,incompODomSel
6,STM,2,0.2,0.74,incompODomSel
6,STH,2,0.2,0.74,incompODomSel
6,STL,3,0.2,0.6,incompODomSel
6,STM,3,0.2,0.52,incompODomSel
6,STH,3,0.2,0.58,incompODomSel
6,STL,4,0.2,0.44,incompODomSel
6,STM,4,0.2,0.5,incompODomSel
6,STH,4,0.2,0.5,incompODomSel
6,STL,5,0.2,0.48,incompODomSel
6,STM,5,0.2,0.42,incompODomSel
6,STH,5,0.2,0.4,incompODomSel
6,STL,6,0.2,0.46,incompODomSel
6,STM,6,0.2,0.38,incompODomSel
6,STH,6,0.2,0.42,incompODomSel
6,STL,7,0.2,0.46,incompODomSel
6,STM,7,0.2,0.3,incompODomSel
6,STH,7,0.2,0.28,incompODomSel
6,STL,8,0.2,0.3,incompODomSel
6,STM,8,0.2,0.36,incompODomSel
6,STH,8,0.2,0.48,incompODomSel
6,STL,9,0.2,0.34,incompODomSel
6,STM,9,0.2,0.36,incompODomSel
6,STH,9,0.2,0.5,incompODomSel
6,STL,10,0.2,0.36,incompODomSel
6,STM,10,0.2,0.32,incompODomSel
6,STH,10,0.2,0.52,incompODomSel
6,STL,11,0.2,0.26,incompODomSel
6,STM,11,0.2,0.46,incompODomSel
6,STH,11,0.2,0.36,incompODomSel
