replicate,pop,gen,V4,selModel
8,STH,3,0.56,incompSel
8,STL,4,0.56,incompSel
8,STM,4,0.3,incompSel
8,STH,4,0.56,incompSel
8,STL,5,0.4,incompSel
8,STM,5,0.34,incompSel
8,STH,5,0.38,incompSel
8,STL,6,0.3,incompSel
8,STM,6,0.32,incompSel
8,STH,6,0.36,incompSel
8,STL,7,0.22,incompSel
8,STM,7,0.34,incompSel
8,STH,7,0.36,incompSel
8,STL,8,0.22,incompSel
8,STM,8,0.34,incompSel
8,STH,8,0.32,incompSel
8,STL,9,0.24,incompSel
8,STM,9,0.2,incompSel
8,STH,9,0.3,incompSel
8,STL,10,0.14,incompSel
8,STM,10,0.22,incompSel
8,STH,10,0.22,incompSel
8,STL,11,0.14,incompSel
8,STM,11,0.14,incompSel
8,STH,11,0.14,incompSel
8,STL,12,0.2,incompSel
8,STM,12,0.12,incompSel
8,STH,12,0.14,incompSel
8,STL,13,0.14,incompSel
8,STM,13,0.06,incompSel
8,STH,13,0.22,incompSel
8,STL,14,0.18,incompSel
8,STM,14,0.06,incompSel
8,STH,14,0.24,incompSel
8,STL,15,0.2,incompSel
8,STM,15,0.06,incompSel
8,STH,15,0.08,incompSel
8,STL,16,0.22,incompSel
8,STM,16,0.02,incompSel
8,STH,16,0.08,incompSel
8,STL,17,0.28,incompSel
8,STM,17,0,incompSel
8,STH,17,0.08,incompSel
8,STL,18,0.22,incompSel
8,STM,18,0,incompSel
8,STH,18,0.06,incompSel
8,STL,19,0.2,incompSel
8,STM,19,0,incompSel
8,STH,19,0.06,incompSel
8,STL,20,0.18,incompSel
8,STM,20,0,incompSel
8,STH,20,0.08,incompSel
9,STL,1,1,incompSel
9,STM,1,1,incompSel
9,STH,1,1,incompSel
9,STL,2,0.86,incompSel
9,STM,2,0.58,incompSel
9,STH,2,0.62,incompSel
9,STL,3,0.62,incompSel
9,STM,3,0.44,incompSel
9,STH,3,0.56,incompSel
9,STL,4,0.56,incompSel
9,STM,4,0.3,incompSel
9,STH,4,0.56,incompSel
9,STL,5,0.4,incompSel
9,STM,5,0.34,incompSel
9,STH,5,0.38,incompSel
9,STL,6,0.3,incompSel
9,STM,6,0.32,incompSel
9,STH,6,0.36,incompSel
9,STL,7,0.22,incompSel
9,STM,7,0.34,incompSel
9,STH,7,0.36,incompSel
9,STL,8,0.22,incompSel
9,STM,8,0.34,incompSel
9,STH,8,0.32,incompSel
9,STL,9,0.24,incompSel
9,STM,9,0.2,incompSel
9,STH,9,0.3,incompSel
9,STL,10,0.14,incompSel
9,STM,10,0.22,incompSel
9,STH,10,0.22,incompSel
9,STL,11,0.14,incompSel
9,STM,11,0.14,incompSel
9,STH,11,0.14,incompSel
9,STL,12,0.2,incompSel
9,STM,12,0.12,incompSel
9,STH,12,0.14,incompSel
9,STL,13,0.14,incompSel
9,STM,13,0.06,incompSel
9,STH,13,0.22,incompSel
9,STL,14,0.18,incompSel
9,STM,14,0.06,incompSel
9,STH,14,0.24,incompSel
9,STL,15,0.2,incompSel
9,STM,15,0.06,incompSel
9,STH,15,0.08,incompSel
9,STL,16,0.22,incompSel
9,STM,16,0.02,incompSel
9,STH,16,0.08,incompSel
9,STL,17,0.28,incompSel
9,STM,17,0,incompSel
9,STH,17,0.08,incompSel
9,STL,18,0.22,incompSel
9,STM,18,0,incompSel
9,STH,18,0.06,incompSel
9,STL,19,0.2,incompSel
9,STM,19,0,incompSel
9,STH,19,0.06,incompSel
9,STL,20,0.18,incompSel
9,STM,20,0,incompSel
9,STH,20,0.08,incompSel
10,STL,1,1,incompSel
10,STM,1,1,incompSel
10,STH,1,1,incompSel
10,STL,2,0.66,incompSel
10,STM,2,0.74,incompSel
10,STH,2,0.76,incompSel
10,STL,3,0.52,incompSel
10,STM,3,0.48,incompSel
10,STH,3,0.64,incompSel
10,STL,4,0.38,incompSel
10,STM,4,0.34,incompSel
10,STH,4,0.44,incompSel
10,STL,5,0.3,incompSel
10,STM,5,0.34,incompSel
10,STH,5,0.34,incompSel
10,STL,6,0.38,incompSel
10,STM,6,0.42,incompSel
10,STH,6,0.3,incompSel
10,STL,7,0.44,incompSel
10,STM,7,0.36,incompSel
10,STH,7,0.32,incompSel
10,STL,8,0.3,incompSel
10,STM,8,0.4,incompSel
10,STH,8,0.34,incompSel
10,STL,9,0.3,incompSel
10,STM,9,0.36,incompSel
10,STH,9,0.18,incompSel
10,STL,10,0.28,incompSel
10,STM,10,0.26,incompSel
10,STH,10,0.18,incompSel
10,STL,11,0.34,incompSel
10,STM,11,0.3,incompSel
10,STH,11,0.16,incompSel
10,STL,12,0.22,incompSel
10,STM,12,0.14,incompSel
10,STH,12,0.1,incompSel
10,STL,13,0.06,incompSel
10,STM,13,0.08,incompSel
10,STH,13,0.02,incompSel
10,STL,14,0.06,incompSel
10,STM,14,0.04,incompSel
10,STH,14,0,incompSel
10,STL,15,0.1,incompSel
10,STM,15,0.06,incompSel
10,STH,15,0,incompSel
10,STL,16,0.1,incompSel
10,STM,16,0.1,incompSel
10,STH,16,0,incompSel
10,STL,17,0.08,incompSel
10,STM,17,0.1,incompSel
10,STH,17,0,incompSel
10,STL,18,0.08,incompSel
10,STM,18,0.16,incompSel
10,STH,18,0,incompSel
10,STL,19,0.1,incompSel
10,STM,19,0.12,incompSel
10,STH,19,0,incompSel
10,STL,20,0.1,incompSel
10,STM,20,0.06,incompSel
10,STH,20,0,incompSel
11,STL,1,1,incompSel
11,STM,1,1,incompSel
11,STH,1,1,incompSel
11,STL,2,0.58,incompSel
11,STM,2,0.7,incompSel
11,STH,2,0.66,incompSel
11,STL,3,0.54,incompSel
11,STM,3,0.52,incompSel
11,STH,3,0.4,incompSel
11,STL,4,0.62,incompSel
11,STM,4,0.48,incompSel
11,STH,4,0.36,incompSel
11,STL,5,0.38,incompSel
11,STM,5,0.34,incompSel
11,STH,5,0.26,incompSel
11,STL,6,0.5,incompSel
11,STM,6,0.44,incompSel
11,STH,6,0.28,incompSel
11,STL,7,0.46,incompSel
11,STM,7,0.38,incompSel
11,STH,7,0.34,incompSel
11,STL,8,0.34,incompSel
11,STM,8,0.22,incompSel
11,STH,8,0.28,incompSel
11,STL,9,0.22,incompSel
11,STM,9,0.24,incompSel
11,STH,9,0.2,incompSel
11,STL,10,0.14,incompSel
11,STM,10,0.2,incompSel
11,STH,10,0.28,incompSel
11,STL,11,0.18,incompSel
11,STM,11,0.14,incompSel
11,STH,11,0.24,incompSel
11,STL,12,0.14,incompSel
11,STM,12,0.18,incompSel
11,STH,12,0.22,incompSel
11,STL,13,0.24,incompSel
11,STM,13,0.14,incompSel
11,STH,13,0.3,incompSel
11,STL,14,0.2,incompSel
11,STM,14,0.26,incompSel
11,STH,14,0.18,incompSel
11,STL,15,0.16,incompSel
11,STM,15,0.3,incompSel
11,STH,15,0.18,incompSel
11,STL,16,0.16,incompSel
11,STM,16,0.42,incompSel
11,STH,16,0.18,incompSel
11,STL,17,0.06,incompSel
11,STM,17,0.36,incompSel
11,STH,17,0.06,incompSel
11,STL,18,0.04,incompSel
11,STM,18,0.28,incompSel
11,STH,18,0.08,incompSel
11,STL,19,0.08,incompSel
11,STM,19,0.2,incompSel
11,STH,19,0.02,incompSel
11,STL,20,0.08,incompSel
11,STM,20,0.16,incompSel
11,STH,20,0.04,incompSel
12,STL,1,1,incompSel
12,STM,1,1,incompSel
12,STH,1,1,incompSel
12,STL,2,0.58,incompSel
12,STM,2,0.7,incompSel
12,STH,2,0.66,incompSel
12,STL,3,0.54,incompSel
12,STM,3,0.52,incompSel
12,STH,3,0.4,incompSel
12,STL,4,0.62,incompSel
12,STM,4,0.48,incompSel
12,STH,4,0.36,incompSel
12,STL,5,0.38,incompSel
12,STM,5,0.34,incompSel
12,STH,5,0.26,incompSel
12,STL,6,0.5,incompSel
12,STM,6,0.44,incompSel
12,STH,6,0.28,incompSel
12,STL,7,0.46,incompSel
12,STM,7,0.38,incompSel
12,STH,7,0.34,incompSel
12,STL,8,0.34,incompSel
12,STM,8,0.22,incompSel
12,STH,8,0.28,incompSel
12,STL,9,0.22,incompSel
12,STM,9,0.24,incompSel
12,STH,9,0.2,incompSel
12,STL,10,0.14,incompSel
12,STM,10,0.2,incompSel
12,STH,10,0.28,incompSel
12,STL,11,0.18,incompSel
12,STM,11,0.14,incompSel
12,STH,11,0.24,incompSel
12,STL,12,0.14,incompSel
12,STM,12,0.18,incompSel
12,STH,12,0.22,incompSel
12,STL,13,0.24,incompSel
12,STM,13,0.14,incompSel
12,STH,13,0.3,incompSel
12,STL,14,0.2,incompSel
12,STM,14,0.26,incompSel
12,STH,14,0.18,incompSel
12,STL,15,0.16,incompSel
12,STM,15,0.3,incompSel
12,STH,15,0.18,incompSel
12,STL,16,0.16,incompSel
12,STM,16,0.42,incompSel
12,STH,16,0.18,incompSel
12,STL,17,0.06,incompSel
12,STM,17,0.36,incompSel
12,STH,17,0.06,incompSel
12,STL,18,0.04,incompSel
12,STM,18,0.28,incompSel
12,STH,18,0.08,incompSel
12,STL,19,0.08,incompSel
12,STM,19,0.2,incompSel
12,STH,19,0.02,incompSel
12,STL,20,0.08,incompSel
12,STM,20,0.16,incompSel
12,STH,20,0.04,incompSel
13,STL,1,1,incompSel
13,STM,1,1,incompSel
13,STH,1,1,incompSel
13,STL,2,0.78,incompSel
13,STM,2,0.64,incompSel
13,STH,2,0.66,incompSel
13,STL,3,0.68,incompSel
13,STM,3,0.54,incompSel
13,STH,3,0.64,incompSel
13,STL,4,0.54,incompSel
13,STM,4,0.58,incompSel
13,STH,4,0.54,incompSel
13,STL,5,0.38,incompSel
13,STM,5,0.32,incompSel
13,STH,5,0.52,incompSel
13,STL,6,0.3,incompSel
13,STM,6,0.34,incompSel
13,STH,6,0.54,incompSel
13,STL,7,0.38,incompSel
13,STM,7,0.44,incompSel
13,STH,7,0.42,incompSel
13,STL,8,0.3,incompSel
13,STM,8,0.28,incompSel
13,STH,8,0.46,incompSel
13,STL,9,0.3,incompSel
13,STM,9,0.32,incompSel
13,STH,9,0.4,incompSel
13,STL,10,0.4,incompSel
13,STM,10,0.18,incompSel
13,STH,10,0.34,incompSel
13,STL,11,0.38,incompSel
13,STM,11,0.08,incompSel
13,STH,11,0.4,incompSel
13,STL,12,0.42,incompSel
13,STM,12,0.06,incompSel
13,STH,12,0.38,incompSel
13,STL,13,0.28,incompSel
13,STM,13,0.1,incompSel
13,STH,13,0.22,incompSel
13,STL,14,0.2,incompSel
13,STM,14,0.02,incompSel
13,STH,14,0.2,incompSel
13,STL,15,0.32,incompSel
13,STM,15,0.04,incompSel
13,STH,15,0.12,incompSel
13,STL,16,0.2,incompSel
13,STM,16,0.08,incompSel
13,STH,16,0.14,incompSel
13,STL,17,0.14,incompSel
13,STM,17,0.08,incompSel
13,STH,17,0.14,incompSel
13,STL,18,0.12,incompSel
13,STM,18,0.06,incompSel
13,STH,18,0.18,incompSel
13,STL,19,0.08,incompSel
13,STM,19,0.02,incompSel
13,STH,19,0.18,incompSel
13,STL,20,0.08,incompSel
13,STM,20,0.02,incompSel
13,STH,20,0.12,incompSel
14,STL,1,1,incompSel
14,STM,1,1,incompSel
14,STH,1,1,incompSel
14,STL,2,0.68,incompSel
14,STM,2,0.68,incompSel
14,STH,2,0.74,incompSel
14,STL,3,0.56,incompSel
14,STM,3,0.58,incompSel
14,STH,3,0.58,incompSel
14,STL,4,0.58,incompSel
14,STM,4,0.38,incompSel
14,STH,4,0.52,incompSel
14,STL,5,0.52,incompSel
14,STM,5,0.28,incompSel
14,STH,5,0.4,incompSel
14,STL,6,0.48,incompSel
14,STM,6,0.3,incompSel
14,STH,6,0.28,incompSel
14,STL,7,0.46,incompSel
14,STM,7,0.2,incompSel
14,STH,7,0.24,incompSel
14,STL,8,0.38,incompSel
14,STM,8,0.2,incompSel
14,STH,8,0.1,incompSel
14,STL,9,0.3,incompSel
14,STM,9,0.18,incompSel
14,STH,9,0.14,incompSel
14,STL,10,0.16,incompSel
14,STM,10,0.08,incompSel
14,STH,10,0.14,incompSel
14,STL,11,0.08,incompSel
14,STM,11,0.08,incompSel
14,STH,11,0.1,incompSel
14,STL,12,0.04,incompSel
14,STM,12,0.04,incompSel
14,STH,12,0.06,incompSel
14,STL,13,0.02,incompSel
14,STM,13,0.06,incompSel
14,STH,13,0.1,incompSel
14,STL,14,0.04,incompSel
14,STM,14,0,incompSel
14,STH,14,0.06,incompSel
14,STL,15,0.02,incompSel
14,STM,15,0,incompSel
14,STH,15,0.08,incompSel
14,STL,16,0.02,incompSel
14,STM,16,0,incompSel
14,STH,16,0.04,incompSel
14,STL,17,0.02,incompSel
14,STM,17,0,incompSel
14,STH,17,0.02,incompSel
14,STL,18,0.1,incompSel
14,STM,18,0,incompSel
14,STH,18,0,incompSel
14,STL,19,0.2,incompSel
14,STM,19,0,incompSel
14,STH,19,0,incompSel
14,STL,20,0.16,incompSel
14,STM,20,0,incompSel
14,STH,20,0,incompSel
15,STL,1,1,incompSel
15,STM,1,1,incompSel
15,STH,1,1,incompSel
15,STL,2,0.62,incompSel
15,STM,2,0.66,incompSel
15,STH,2,0.66,incompSel
15,STL,3,0.6,incompSel
15,STM,3,0.48,incompSel
15,STH,3,0.46,incompSel
15,STL,4,0.54,incompSel
15,STM,4,0.34,incompSel
15,STH,4,0.36,incompSel
15,STL,5,0.48,incompSel
15,STM,5,0.24,incompSel
15,STH,5,0.36,incompSel
15,STL,6,0.28,incompSel
15,STM,6,0.2,incompSel
15,STH,6,0.38,incompSel
15,STL,7,0.34,incompSel
15,STM,7,0.22,incompSel
15,STH,7,0.38,incompSel
15,STL,8,0.32,incompSel
15,STM,8,0.22,incompSel
15,STH,8,0.3,incompSel
15,STL,9,0.32,incompSel
15,STM,9,0.2,incompSel
15,STH,9,0.4,incompSel
15,STL,10,0.44,incompSel
15,STM,10,0.2,incompSel
15,STH,10,0.46,incompSel
15,STL,11,0.32,incompSel
15,STM,11,0.26,incompSel
15,STH,11,0.34,incompSel
15,STL,12,0.24,incompSel
15,STM,12,0.28,incompSel
15,STH,12,0.22,incompSel
15,STL,13,0.18,incompSel
15,STM,13,0.2,incompSel
15,STH,13,0.3,incompSel
15,STL,14,0.16,incompSel
15,STM,14,0.26,incompSel
15,STH,14,0.24,incompSel
