replicate,pop,gen,disS,H0,selModel
3,STM,20,0.4,0.1,incompHetPrefAltLocSel
3,STH,20,0.4,0.02,incompHetPrefAltLocSel
4,STL,1,0.4,1,incompHetPrefAltLocSel
4,STM,1,0.4,1,incompHetPrefAltLocSel
4,STH,1,0.4,1,incompHetPrefAltLocSel
4,STL,2,0.4,0.7,incompHetPrefAltLocSel
4,STM,2,0.4,0.62,incompHetPrefAltLocSel
4,STH,2,0.4,0.7,incompHetPrefAltLocSel
4,STL,3,0.4,0.52,incompHetPrefAltLocSel
4,STM,3,0.4,0.36,incompHetPrefAltLocSel
4,STH,3,0.4,0.42,incompHetPrefAltLocSel
4,STL,4,0.4,0.32,incompHetPrefAltLocSel
4,STM,4,0.4,0.28,incompHetPrefAltLocSel
4,STH,4,0.4,0.24,incompHetPrefAltLocSel
4,STL,5,0.4,0.34,incompHetPrefAltLocSel
4,STM,5,0.4,0.36,incompHetPrefAltLocSel
4,STH,5,0.4,0.28,incompHetPrefAltLocSel
4,STL,6,0.4,0.28,incompHetPrefAltLocSel
4,STM,6,0.4,0.22,incompHetPrefAltLocSel
4,STH,6,0.4,0.36,incompHetPrefAltLocSel
4,STL,7,0.4,0.22,incompHetPrefAltLocSel
4,STM,7,0.4,0.14,incompHetPrefAltLocSel
4,STH,7,0.4,0.4,incompHetPrefAltLocSel
4,STL,8,0.4,0.22,incompHetPrefAltLocSel
4,STM,8,0.4,0.06,incompHetPrefAltLocSel
4,STH,8,0.4,0.2,incompHetPrefAltLocSel
4,STL,9,0.4,0.24,incompHetPrefAltLocSel
4,STM,9,0.4,0.06,incompHetPrefAltLocSel
4,STH,9,0.4,0.12,incompHetPrefAltLocSel
4,STL,10,0.4,0.28,incompHetPrefAltLocSel
4,STM,10,0.4,0.08,incompHetPrefAltLocSel
4,STH,10,0.4,0.14,incompHetPrefAltLocSel
4,STL,11,0.4,0.2,incompHetPrefAltLocSel
4,STM,11,0.4,0.1,incompHetPrefAltLocSel
4,STH,11,0.4,0.1,incompHetPrefAltLocSel
4,STL,12,0.4,0.1,incompHetPrefAltLocSel
4,STM,12,0.4,0.04,incompHetPrefAltLocSel
4,STH,12,0.4,0.08,incompHetPrefAltLocSel
4,STL,13,0.4,0.08,incompHetPrefAltLocSel
4,STM,13,0.4,0.02,incompHetPrefAltLocSel
4,STH,13,0.4,0,incompHetPrefAltLocSel
4,STL,14,0.4,0,incompHetPrefAltLocSel
4,STM,14,0.4,0.02,incompHetPrefAltLocSel
4,STH,14,0.4,0,incompHetPrefAltLocSel
4,STL,15,0.4,0,incompHetPrefAltLocSel
4,STM,15,0.4,0.02,incompHetPrefAltLocSel
4,STH,15,0.4,0,incompHetPrefAltLocSel
4,STL,16,0.4,0,incompHetPrefAltLocSel
4,STM,16,0.4,0,incompHetPrefAltLocSel
4,STH,16,0.4,0,incompHetPrefAltLocSel
4,STL,17,0.4,0,incompHetPrefAltLocSel
4,STM,17,0.4,0,incompHetPrefAltLocSel
4,STH,17,0.4,0,incompHetPrefAltLocSel
4,STL,18,0.4,0,incompHetPrefAltLocSel
4,STM,18,0.4,0,incompHetPrefAltLocSel
4,STH,18,0.4,0,incompHetPrefAltLocSel
4,STL,19,0.4,0,incompHetPrefAltLocSel
4,STM,19,0.4,0,incompHetPrefAltLocSel
4,STH,19,0.4,0,incompHetPrefAltLocSel
4,STL,20,0.4,0,incompHetPrefAltLocSel
4,STM,20,0.4,0,incompHetPrefAltLocSel
4,STH,20,0.4,0,incompHetPrefAltLocSel
5,STL,1,0.4,1,incompHetPrefAltLocSel
5,STM,1,0.4,1,incompHetPrefAltLocSel
5,STH,1,0.4,1,incompHetPrefAltLocSel
5,STL,2,0.4,0.68,incompHetPrefAltLocSel
5,STM,2,0.4,0.62,incompHetPrefAltLocSel
5,STH,2,0.4,0.62,incompHetPrefAltLocSel
5,STL,3,0.4,0.56,incompHetPrefAltLocSel
5,STM,3,0.4,0.44,incompHetPrefAltLocSel
5,STH,3,0.4,0.5,incompHetPrefAltLocSel
5,STL,4,0.4,0.44,incompHetPrefAltLocSel
5,STM,4,0.4,0.34,incompHetPrefAltLocSel
5,STH,4,0.4,0.32,incompHetPrefAltLocSel
5,STL,5,0.4,0.44,incompHetPrefAltLocSel
5,STM,5,0.4,0.34,incompHetPrefAltLocSel
5,STH,5,0.4,0.34,incompHetPrefAltLocSel
5,STL,6,0.4,0.36,incompHetPrefAltLocSel
5,STM,6,0.4,0.26,incompHetPrefAltLocSel
5,STH,6,0.4,0.22,incompHetPrefAltLocSel
5,STL,7,0.4,0.34,incompHetPrefAltLocSel
5,STM,7,0.4,0.26,incompHetPrefAltLocSel
5,STH,7,0.4,0.12,incompHetPrefAltLocSel
5,STL,8,0.4,0.18,incompHetPrefAltLocSel
5,STM,8,0.4,0.2,incompHetPrefAltLocSel
5,STH,8,0.4,0.18,incompHetPrefAltLocSel
5,STL,9,0.4,0.12,incompHetPrefAltLocSel
5,STM,9,0.4,0.16,incompHetPrefAltLocSel
5,STH,9,0.4,0.24,incompHetPrefAltLocSel
5,STL,10,0.4,0.16,incompHetPrefAltLocSel
5,STM,10,0.4,0.14,incompHetPrefAltLocSel
5,STH,10,0.4,0.28,incompHetPrefAltLocSel
5,STL,11,0.4,0.12,incompHetPrefAltLocSel
5,STM,11,0.4,0.14,incompHetPrefAltLocSel
5,STH,11,0.4,0.34,incompHetPrefAltLocSel
5,STL,12,0.4,0.1,incompHetPrefAltLocSel
5,STM,12,0.4,0.18,incompHetPrefAltLocSel
5,STH,12,0.4,0.24,incompHetPrefAltLocSel
5,STL,13,0.4,0.1,incompHetPrefAltLocSel
5,STM,13,0.4,0.18,incompHetPrefAltLocSel
5,STH,13,0.4,0.24,incompHetPrefAltLocSel
5,STL,14,0.4,0.04,incompHetPrefAltLocSel
5,STM,14,0.4,0.16,incompHetPrefAltLocSel
5,STH,14,0.4,0.18,incompHetPrefAltLocSel
5,STL,15,0.4,0.04,incompHetPrefAltLocSel
5,STM,15,0.4,0.12,incompHetPrefAltLocSel
5,STH,15,0.4,0.12,incompHetPrefAltLocSel
5,STL,16,0.4,0.08,incompHetPrefAltLocSel
